Date,Australasia & Oceania,Central America & Caribbean,Central Asia,East Asia,Eastern Europe,Middle East & North Africa,North America,South America,South Asia,Southeast Asia,Sub-Saharan Africa,Western Europe,Sum
1983-08-31,0,93,0,0,0,11,8,59,4,1,10,35,221
1983-09-30,0,107,0,1,0,4,2,77,7,3,4,31,236
1983-10-31,0,70,0,0,0,7,5,109,11,3,8,47,260
1983-11-30,0,65,0,4,0,10,3,96,7,2,15,28,230
1983-12-31,0,47,0,0,0,35,3,64,1,0,11,46,207
1984-01-31,0,56,0,0,0,75,4,99,2,1,3,44,284
1984-02-29,0,67,0,1,0,55,3,79,14,3,11,52,285
1984-03-31,1,87,0,0,0,40,7,167,21,4,9,41,377
1984-04-30,0,73,0,1,0,9,8,125,83,3,16,45,363
1984-05-31,0,37,0,0,1,10,4,153,30,13,14,36,298
1984-06-30,0,57,0,0,1,5,5,93,22,1,15,52,251
1984-07-31,0,56,0,9,0,7,5,181,9,1,21,56,345
1984-08-31,0,42,0,0,1,25,4,184,27,2,11,64,360
1984-09-30,0,69,0,2,0,9,13,121,8,2,10,29,263
1984-10-31,0,52,0,1,0,12,1,110,4,2,3,50,235
1984-11-30,6,52,0,0,0,9,4,110,11,7,6,36,241
1984-12-31,4,33,0,1,1,12,9,69,13,7,7,50,206
1985-01-31,0,78,0,1,2,19,2,68,15,7,1,27,220
1985-02-28,0,64,0,0,1,17,3,60,5,4,2,29,185
1985-03-31,0,46,0,0,0,16,3,96,5,5,4,48,223
1985-04-30,0,21,0,2,0,5,2,76,13,4,4,31,158
1985-05-31,4,151,0,3,1,15,2,109,18,12,19,86,420
1985-06-30,0,74,0,1,0,7,4,111,27,10,26,36,296
1985-07-31,0,75,0,2,0,12,2,94,10,21,11,36,263
1985-08-31,0,68,0,0,0,13,5,93,12,31,11,33,266
1985-09-30,0,72,0,0,0,20,2,47,14,7,7,36,205
1985-10-31,0,51,0,0,0,6,6,98,11,7,8,30,217
1985-11-30,1,30,0,1,1,2,4,112,23,5,20,34,233
1985-12-31,2,50,0,0,0,1,9,76,9,15,28,26,216
1986-01-31,0,57,0,0,0,7,5,90,19,5,19,21,223
1986-02-28,1,36,0,0,0,16,0,85,8,14,20,22,202
1986-03-31,1,38,0,5,0,23,5,118,38,24,20,28,300
1986-04-30,1,50,0,2,0,13,4,104,15,6,13,40,248
1986-05-31,0,32,0,0,1,17,5,129,24,5,9,26,248
1986-06-30,0,23,0,1,0,28,2,167,40,5,29,49,344
1986-07-31,0,29,0,0,0,19,1,116,21,8,25,48,267
1986-08-31,0,29,0,0,0,20,2,93,30,3,12,46,235
1986-09-30,0,36,0,2,1,25,7,74,20,7,11,35,218
1986-10-31,0,10,0,1,1,9,11,79,25,8,9,44,197
1986-11-30,1,37,0,0,0,12,5,53,8,14,11,25,166
1986-12-31,0,16,0,1,0,7,6,76,24,3,7,71,211
1987-01-31,0,18,0,3,0,23,2,97,36,21,13,26,239
1987-02-28,0,12,0,0,0,18,2,107,17,13,9,92,270
1987-03-31,0,33,0,1,0,9,2,104,13,9,17,38,226
1987-04-30,0,62,0,0,0,8,2,144,14,5,33,38,306
1987-05-31,1,42,0,2,0,13,10,113,10,5,19,31,246
1987-06-30,0,42,0,0,0,22,1,101,48,31,10,40,295
1987-07-31,1,81,0,0,0,18,3,88,30,18,24,35,298
1987-08-31,0,41,0,2,0,29,2,123,39,13,7,32,288
1987-09-30,0,31,0,1,1,21,5,149,36,7,11,28,290
1987-10-31,1,38,0,1,0,11,2,95,52,13,9,27,249
1987-11-30,0,124,0,0,0,16,4,98,28,12,16,17,315
1987-12-31,0,42,0,0,0,14,0,46,25,16,6,12,161
1988-01-31,0,46,0,1,0,2,4,84,72,41,10,28,288
1988-02-29,1,78,0,2,0,29,1,90,69,16,18,20,324
1988-03-31,0,45,0,6,1,35,2,79,70,47,23,50,358
1988-04-30,4,21,0,2,3,15,0,96,45,24,21,45,276
1988-05-31,4,30,0,2,0,29,3,95,72,22,22,48,327
1988-06-30,1,28,0,1,0,21,2,109,85,32,31,24,334
1988-07-31,1,43,0,1,0,10,3,89,108,21,36,28,340
1988-08-31,0,5,0,1,0,24,0,59,63,14,23,71,260
1988-09-30,0,18,0,3,0,11,6,61,49,5,52,33,238
1988-10-31,0,60,0,4,0,32,2,64,54,3,53,54,326
1988-11-30,0,59,0,0,0,19,4,110,63,9,19,37,320
1988-12-31,1,62,0,1,0,19,4,106,51,8,29,51,332
1989-01-31,1,46,0,1,0,33,1,93,78,15,33,21,322
1989-02-28,0,79,0,2,2,27,4,113,81,23,22,25,378
1989-03-31,1,40,0,2,2,28,5,102,62,18,19,42,321
1989-04-30,0,74,0,4,5,29,5,72,56,12,27,57,341
1989-05-31,4,45,0,1,2,44,3,110,51,10,29,60,359
1989-06-30,5,16,0,1,0,41,3,92,47,11,24,32,272
1989-07-31,4,41,0,0,2,32,5,130,42,11,31,26,324
1989-08-31,1,36,0,1,1,49,4,116,97,7,28,26,366
1989-09-30,7,49,0,1,1,67,3,162,112,22,28,47,499
1989-10-31,3,37,0,0,1,40,1,225,92,19,12,42,472
